op	verdict	job	out	detail	eager	device	in_dtypes
clamp.out	GENUINE	w104:379	1	out[0] max|delta|=2.000e+00 (rtol=0.01 atol=0.001)	[-3.0]	[-5.0]	["torch.int64"]
clone	CLEAN	w106:273	2	op reproduces eager alone	""	""	""
constant_pad_nd	CLEAN	w0:516	0	op reproduces eager alone	""	""	""
convolution	LOWERFAIL	w121:700	3	build=SKIP	""	""	""
copy	GENUINE	w0:176	1	out[0] max|delta|=2.550e+02 (rtol=0.0 atol=0.0)	[1.0, 0.0, 1.0, 1.0]	[253.0, 255.0, 253.0, 254.0]	["torch.uint8", "torch.uint8"]
cos.out	GENUINE	w100:594	4	out[0] max|delta|=1.012e+00 (rtol=0.01 atol=0.001)	[0.0118]	[-1.0]	["torch.float32"]
cosh.out	CLEAN	w1:688	2	op reproduces eager alone	""	""	""
cumsum.out	CLEAN	w103:596	1	op reproduces eager alone	""	""	""
detach_copy	CLEAN	w101:323	0	op reproduces eager alone	""	""	""
diagonal_copy	CLEAN	w124:225	2	op reproduces eager alone	""	""	""
div.Scalar	CLEAN	w108:379	1	op reproduces eager alone	""	""	""
div.out	CLEAN	w125:370	0	op reproduces eager alone	""	""	""
div.out_mode	GENUINE	w114:356	3	out[0] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)	[-0.0, -0.0]	[-1.0, -1.0]	["torch.float16", "torch.float16"]
elu.out	CLEAN	w126:148	1	op reproduces eager alone	""	""	""
eq.Scalar_out	CLEAN	w71:1007	3	op reproduces eager alone	""	""	""
eq.Tensor_out	CLEAN	w116:735	3	op reproduces eager alone	""	""	""
erf.out	CLEAN	w105:271	1	op reproduces eager alone	""	""	""
exp.out	CLEAN	w103:526	1	op reproduces eager alone	""	""	""
expand_copy	CLEAN	w106:747	2	op reproduces eager alone	""	""	""
expm1.out	CLEAN	w101:439	0	op reproduces eager alone	""	""	""
fill.Scalar	GENUINE	w102:429	1	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[1.0, 1.0]	[0.0, 0.0]	["torch.bool"]
flip	CLEAN	w100:771	1	op reproduces eager alone	""	""	""
floor.out	CLEAN	w0:249	2	op reproduces eager alone	""	""	""
floor_divide	GENUINE	w103:776	3	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[-1.0, -1.0]	[0.0, 0.0]	["torch.uint8", "torch.int32"]
floor_divide.out	GENUINE	w100:542	0	out[0] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)	[1.0, 1.0]	[0.0, 1.0]	["torch.float16"]
fmod.Scalar	CLEAN	w106:244	0	op reproduces eager alone	""	""	""
fmod.Scalar_out	CLEAN	w0:532	3	op reproduces eager alone	""	""	""
fmod.Tensor_out	CLEAN	w104:107	1	op reproduces eager alone	""	""	""
gather.out	GENUINE	w101:346	0	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[1.0, 1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0, 0.0]	["torch.int32", "torch.int32"]
ge.Scalar_out	CLEAN	w100:744	1	op reproduces eager alone	""	""	""
ge.Tensor_out	CLEAN	w111:300	0	op reproduces eager alone	""	""	""
gelu.out	CLEAN	w104:546	0	op reproduces eager alone	""	""	""
glu.out	CLEAN	w106:622	1	op reproduces eager alone	""	""	""
gt.Scalar_out	CLEAN	w14:114	0	op reproduces eager alone	""	""	""
gt.Tensor_out	GENUINE	w102:284	1	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[0.0, 0.0, 0.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0, 1.0]	["torch.uint8", "torch.int64"]
hardtanh	CLEAN	w34:336	2	op reproduces eager alone	""	""	""
hardtanh.out	CLEAN	w100:719	0	op reproduces eager alone	""	""	""
index.Tensor_out	CLEAN	w119:280	0	op reproduces eager alone	""	""	""
index_put	GENUINE	w0:15	3	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[1.0, 1.0]	[1.0, 0.0]	["torch.bool", "torch.bool"]
index_select	CLEAN	w29:216	1	op reproduces eager alone	""	""	""
index_select.out	GENUINE	w101:1068	2	out[0] max|delta|=5.176e-01 (rtol=0.01 atol=0.001)	[0.48242]	[1.0]	["torch.float16", "torch.int64"]
isinf	LOWERFAIL	w78:435	2	build=SKIP	""	""	""
isnan	LOWERFAIL	w2:303	0	build=SKIP	""	""	""
le.Scalar_out	CLEAN	w120:1064	2	op reproduces eager alone	""	""	""
le.Tensor_out	CLEAN	w107:17	3	op reproduces eager alone	""	""	""
leaky_relu.out	CLEAN	w110:250	0	op reproduces eager alone	""	""	""
lift_fresh_copy	CLEAN	w119:586	0	op reproduces eager alone	""	""	""
linear	CLEAN	w0:14	1	op reproduces eager alone	""	""	""
linear.out	CLEAN	w112:651	1	op reproduces eager alone	""	""	""
log.out	CLEAN	w23:556	1	op reproduces eager alone	""	""	""
log10.out	CLEAN	w37:305	0	op reproduces eager alone	""	""	""
log1p.out	CLEAN	w107:227	3	op reproduces eager alone	""	""	""
log2.out	CLEAN	w108:102	0	op reproduces eager alone	""	""	""
logical_and	CLEAN	w113:757	0	op reproduces eager alone	""	""	""
logical_and.out	CLEAN	w0:245	0	op reproduces eager alone	""	""	""
logical_not	CLEAN	w102:539	2	op reproduces eager alone	""	""	""
logical_not.out	CLEAN	w106:709	0	op reproduces eager alone	""	""	""
logical_or	CLEAN	w0:418	2	op reproduces eager alone	""	""	""
logical_or.out	CLEAN	w115:634	1	op reproduces eager alone	""	""	""
logical_xor	CLEAN	w111:745	0	op reproduces eager alone	""	""	""
logical_xor.out	CLEAN	w105:537	0	op reproduces eager alone	""	""	""
logit	CLEAN	w45:19	3	op reproduces eager alone	""	""	""
logit.out	CLEAN	w121:35	0	op reproduces eager alone	""	""	""
lt.Scalar_out	CLEAN	w108:596	3	op reproduces eager alone	""	""	""
lt.Tensor_out	CLEAN	w0:402	1	op reproduces eager alone	""	""	""
masked_fill.Scalar	CLEAN	w104:118	0	op reproduces eager alone	""	""	""
masked_scatter	CLEAN	w101:928	0	op reproduces eager alone	""	""	""
max	CLEAN	w106:752	0	op reproduces eager alone	""	""	""
max.dim_max	CLEAN	w102:91	3	op reproduces eager alone	""	""	""
max.unary_out	CLEAN	w104:468	0	op reproduces eager alone	""	""	""
max_pool2d_with_indices.out	CLEAN	w11:58	1	op reproduces eager alone	""	""	""
max_pool2d_with_indices_backward.grad_input	LOWERFAIL	w0:7	0	build=SKIP	""	""	""
maximum.out	CLEAN	w109:217	1	op reproduces eager alone	""	""	""
mean	CLEAN	w106:233	1	op reproduces eager alone	""	""	""
mean.dtype_out	CLEAN	w104:673	2	op reproduces eager alone	""	""	""
mean.out	GENUINE	w101:215	0	out[0] max|delta|=3.438e+00 (rtol=0.01 atol=0.001)	[-0.33838]	[3.09961]	["torch.float32"]
min	CLEAN	w100:341	0	op reproduces eager alone	""	""	""
min.dim_min	GENUINE	w101:1109	3	out[0] max|delta|=9.223e+18 (rtol=0.0 atol=0.0)	[-9.223372036854776e+18]	[0.0]	["torch.int64", "torch.int64", "torch.int64"]
min.unary_out	GENUINE	w102:318	2	out[0] max|delta|=1.246e+11 (rtol=0.01 atol=0.001)	[124853944320.0]	[299892736.0]	["torch.int64"]
minimum.out	CLEAN	w0:162	0	op reproduces eager alone	""	""	""
mm.out	CLEAN	w103:629	3	op reproduces eager alone	""	""	""
mul.Scalar	CLEAN	w100:580	0	op reproduces eager alone	""	""	""
mul.out	GENUINE	w101:738	3	out[0] max|delta|=5.042e+21 (rtol=0.01 atol=0.001)	[5.0418833656327e+21, 4.096481257930621e+19, -0.0, -0.0]	[-0.0, -0.0, -0.0, -0.0]	["torch.float32", "torch.int64"]
narrow_copy	CLEAN	w48:72	1	op reproduces eager alone	""	""	""
narrow_copy.out	CLEAN	w42:236	0	op reproduces eager alone	""	""	""
native_group_norm	NONFINITE_OUT	w41:103	2	out[0] non-finite mismatch (nan/inf positions differ)	[NaN]	[0.0]	["torch.float32"]
native_layer_norm	NONFINITE_OUT	w103:333	3	out[0] non-finite mismatch (nan/inf positions differ)	[1.14283, -1.29284, 0.15002, 0.86178, 0.54019, -1.41421]	[1.14283, -1.29284, 0.15002, 0.86178, 0.54019, -1.41426]	["torch.float32"]
ne.Scalar_out	CLEAN	w11:285	2	op reproduces eager alone	""	""	""
ne.Tensor_out	CLEAN	w10:611	3	op reproduces eager alone	""	""	""
neg.out	CLEAN	w101:854	0	op reproduces eager alone	""	""	""
permute_copy	CLEAN	w101:880	1	op reproduces eager alone	""	""	""
pixel_shuffle	CLEAN	w120:547	1	op reproduces eager alone	""	""	""
pixel_unshuffle	CLEAN	w100:131	0	op reproduces eager alone	""	""	""
pow.Scalar_out	GENUINE	w12:257	0	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	[0.0, 0.0]	[255.0, 255.0]	["torch.uint8"]
pow.Tensor_Scalar_out	GENUINE	w102:281	0	out[0] max|delta|=3.286e+02 (rtol=0.01 atol=0.001)	[-164.27562, -164.27562]	[164.27554, 164.27554]	["torch.float32"]
pow.Tensor_Tensor_out	GENUINE	w103:125	0	out[0] max|delta|=2.541e+03 (rtol=0.01 atol=0.001)	[2541.0, 2541.0, 256.0, 256.0, -1.0]	[0.0, 0.0, 256.0, 256.0, -1.0]	["torch.int8", "torch.uint8"]
prod	CLEAN	w106:0	2	op reproduces eager alone	""	""	""
prod.int_out	GENUINE	w0:62	3	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[0.0]	[-1.0]	["torch.float32"]
reciprocal.out	CLEAN	w103:230	3	op reproduces eager alone	""	""	""
reflection_pad1d.out	CLEAN	w125:559	0	op reproduces eager alone	""	""	""
reflection_pad2d	CLEAN	w65:52	2	op reproduces eager alone	""	""	""
reflection_pad2d.out	CLEAN	w101:970	2	op reproduces eager alone	""	""	""
relu	CLEAN	w106:700	0	op reproduces eager alone	""	""	""
remainder.Scalar	GENUINE	w100:110	0	out[0] max|delta|=7.000e+00 (rtol=0.0 atol=0.0)	[4.0, 4.0, 4.0]	[-3.0, -3.0, -3.0]	["torch.int64"]
remainder.Scalar_out	GENUINE	w0:318	4	out[0] max|delta|=8.000e+00 (rtol=0.01 atol=0.001)	[-7.0, -7.0, -7.0, -7.0, -7.0]	[1.0, 1.0, 1.0, 1.0, 1.0]	["torch.int8"]
remainder.Tensor_out	GENUINE	w109:382	1	out[0] max|delta|=4.000e+00 (rtol=0.01 atol=0.001)	[-1.0, 0.0, -2.0, -1.0, 0.0]	[2.0, 0.0, 2.0, 2.0, 0.0]	["torch.uint8", "torch.int32"]
repeat	CLEAN	w0:706	0	op reproduces eager alone	""	""	""
replication_pad1d.out	CLEAN	w113:156	1	op reproduces eager alone	""	""	""
replication_pad2d.out	CLEAN	w118:619	0	op reproduces eager alone	""	""	""
replication_pad3d.out	CLEAN	w122:671	1	op reproduces eager alone	""	""	""
roll	LOWERFAIL	w109:369	2	build=SKIP	""	""	""
round.out	CLEAN	w104:916	1	op reproduces eager alone	""	""	""
rsqrt.out	CLEAN	w108:493	2	op reproduces eager alone	""	""	""
rsub.Scalar	CLEAN	w101:156	3	op reproduces eager alone	""	""	""
scatter.src_out	CLEAN	w123:637	3	op reproduces eager alone	""	""	""
scatter.value_out	CLEAN	w102:523	1	op reproduces eager alone	""	""	""
scatter_add.out	LOWERFAIL	w119:130	2	build=SKIP	""	""	""
select_copy.int	CLEAN	w108:293	1	op reproduces eager alone	""	""	""
select_scatter	GENUINE	w0:215	0	out[0] dtype torch.uint8 vs torch.float16	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, -0.34644, 0.84619]	["torch.uint8", "torch.float16"]
sigmoid.out	CLEAN	w0:573	0	op reproduces eager alone	""	""	""
