op	annotated	n_qdq	lowered	deleg_ops	note
detach_copy	YES	4	READY	0	
diagonal_copy	no	0	-	-	
div.Scalar	no	0	-	-	
div.Scalar_mode	no	0	-	-	
div.out	no	0	-	-	
div.out_mode	no	0	-	-	
elu.out	no	0	-	-	
embedding	no	0	-	-	
eq.Scalar_out	no	0	-	-	
eq.Tensor_out	no	0	-	-	
erf.out	no	0	-	-	
exp.out	no	0	-	-	
expand_copy	YES	4	READY	0	
expm1.out	no	0	-	-	
fill.Scalar	no	0	-	-	
fill.Tensor	no	0	-	-	
flip	no	0	-	-	
floor.out	ERR	0	-	-	Exception: An error occurred when running the 'InsertInt32CastsAfterInt64PlaceholdersPass' 
floor_divide	no	0	-	-	
floor_divide.out	no	0	-	-	
fmod.Scalar	no	0	-	-	
fmod.Scalar_out	no	0	-	-	
fmod.Tensor_out	no	0	-	-	
full.out	no	0	-	-	
gather.out	ERR	0	-	-	Exception: An error occurred when running the 'InsertInt32CastsAfterInt64PlaceholdersPass' 
ge.Scalar_out	no	0	-	-	
ge.Tensor_out	no	0	-	-	
gelu.out	no	0	-	-	
glu.out	no	0	-	-	
grid_sampler_2d	no	0	-	-	
gt.Scalar_out	no	0	-	-	
gt.Tensor_out	no	0	-	-	
hardtanh	no	0	-	-	
hardtanh.out	no	0	-	-	
index.Tensor_out	ERR	0	-	-	Exception: An error occurred when running the 'ReplaceScalarWithTensorByProfilePass' pass a
index_put	YES	6	READY	7	
index_select	YES	4	READY	5	
index_select.out	no	0	-	-	
isinf	no	0	-	-	
isnan	no	0	-	-	
le.Scalar_out	no	0	-	-	
le.Tensor_out	no	0	-	-	
leaky_relu.out	no	0	-	-	
lift_fresh_copy	no	0	-	-	
linear	ERR	0	-	-	IndexError: Dimension out of range (expected to be in range of [-1, 0], but got 1)
linear.out	no	0	-	-	
log.out	no	0	-	-	
log10.out	no	0	-	-	
log1p.out	no	0	-	-	
log2.out	no	0	-	-	
logical_and	no	0	-	-	
logical_and.out	no	0	-	-	
logical_not	no	0	-	-	
logical_not.out	no	0	-	-	
logical_or	no	0	-	-	
logical_or.out	no	0	-	-	
logical_xor	no	0	-	-	
logical_xor.out	no	0	-	-	
logit	ERR	0	-	-	RuntimeError: torch.histc: range of [-nan, -nan] is not finite
logit.out	no	0	-	-	
lt.Scalar_out	no	0	-	-	
lt.Tensor_out	no	0	-	-	
masked_fill.Scalar	no	0	-	-	
masked_scatter	no	0	-	-	
max	no	0	-	-	
max.dim_max	ERR	0	-	-	Exception: An error occurred when running the 'InsertInt32CastsAfterInt64PlaceholdersPass' 
max.unary_out	no	0	-	-	
max_pool2d_with_indices_backward.grad_input	ERR	0	-	-	RuntimeError: expected scalar type Long but found Int
maximum.out	no	0	-	-	
mean	YES	11	READY	15	
mean.dtype_out	no	0	-	-	
mean.out	no	0	-	-	
min	no	0	-	-	
min.dim_min	ERR	0	-	-	Exception: An error occurred when running the 'InsertInt32CastsAfterInt64PlaceholdersPass' 
min.unary_out	no	0	-	-	
minimum.out	no	0	-	-	
mm.out	no	0	-	-	
mul.Scalar	no	0	-	-	
mul.out	no	0	-	-	
narrow_copy	no	0	-	-	
narrow_copy.out	no	0	-	-	
native_group_norm	no	0	-	-	
native_layer_norm	no	0	-	-	
ne.Scalar_out	no	0	-	-	
ne.Tensor_out	no	0	-	-	
neg.out	no	0	-	-	
ones.out	no	0	-	-	
permute_copy	YES	4	READY	5	
pixel_shuffle	no	0	-	-	
pixel_unshuffle	YES	4	READY	9	
pow.Scalar_out	no	0	-	-	
pow.Tensor_Scalar_out	no	0	-	-	
pow.Tensor_Tensor_out	no	0	-	-	
prod	no	0	-	-	
prod.int_out	no	0	-	-	
prod.out	no	0	-	-	
reciprocal.out	no	0	-	-	
reflection_pad1d.out	no	0	-	-	
reflection_pad2d	no	0	-	-	
reflection_pad2d.out	no	0	-	-	
reflection_pad3d.out	no	0	-	-	
relu	no	0	-	-	
remainder.Scalar	no	0	-	-	
remainder.Scalar_out	no	0	-	-	
remainder.Tensor_out	no	0	-	-	
repeat	YES	4	SKIP	-	lower RuntimeError: Vgf compiler ('model-converter -i /tmp/tmpmm43c60l
replication_pad1d.out	no	0	-	-	
replication_pad2d.out	no	0	-	-	
replication_pad3d.out	no	0	-	-	
roll	no	0	-	-	
round.out	no	0	-	-	
rsqrt.out	no	0	-	-	
rsub.Scalar	no	0	-	-	
scatter.src_out	ERR	0	-	-	Exception: An error occurred when running the 'InsertInt32CastsAfterInt64PlaceholdersPass' 
scatter.value_out	no	0	-	-	
scatter_add.out	no	0	-	-	
select_copy.int	no	0	-	-	
select_scatter	no	0	-	-	
sigmoid.out	no	0	-	-	
sign.out	no	0	-	-	
sin.out	no	0	-	-	
sinh.out	no	0	-	-	
slice_copy.Tensor	YES	4	READY	5	
slice_scatter	no	0	-	-	
split_copy.Tensor	YES	4	READY	5	
split_with_sizes_copy	no	0	-	-	
sqrt.out	no	0	-	-	
squeeze_copy.dim	no	0	-	-	
squeeze_copy.dims	no	0	-	-	
stack	no	0	-	-	
stack.out	no	0	-	-	
sub.Scalar	no	0	-	-	
sub.out	no	0	-	-	
sum.IntList_out	no	0	-	-	
t_copy	no	0	-	-	
tan.out	no	0	-	-	
tanh.out	no	0	-	-	
topk.values	ERR	0	-	-	Exception: An error occurred when running the 'InsertInt32CastsAfterInt64PlaceholdersPass' 
transpose_copy.int	no	0	-	-	
tril.out	no	0	-	-	
trunc.out	no	0	-	-	
unbind_copy.int	no	0	-	-	
unfold_copy	YES	4	READY	6	
unsqueeze_copy	no	0	-	-	
var.correction	no	0	-	-	
var.correction_out	no	0	-	-	
var_mean.correction	no	0	-	-	
view_copy	no	0	-	-	
where.self	no	0	-	-	
where.self_out	ERR	0	-	-	Exception: An error occurred when running the 'InsertInt32CastsAfterInt64PlaceholdersPass' 
zeros.out	no	0	-	-	
