job_id	out_idx	verdict	cone_size	required	detail
w0:406	3	LOWERFAIL			BUILD:SKIP
w1:171	1	DEV:TIMEOUT			DEV:TIMEOUT
w1:294	1	LOWERFAIL			BUILD:SKIP
w1:430	2	LOWERFAIL			BUILD:SKIP
w1:471	2	OPERATOR	5		
w1:48	3	LOWERFAIL			BUILD:SKIP
w10:61	0	LOWERFAIL			BUILD:SKIP
w10:648	0	OPERATOR	3		
w101:263	3	COMPOSITIONAL	4	n2,n3,n1	
w101:39	2	SIBLING_DEPENDENT	3	n3,n4	
w101:410	0	SIBLING_DEPENDENT	3	n5	
w101:440	1	COMPOSITIONAL	2	n1	
w102:623	1	LOWERFAIL			BUILD:SKIP
w104:181	2	OPERATOR	1		
w104:185	0	SIBLING_DEPENDENT	3	n8	
w104:336	0	ERROR			DEV:SKIP
w105:166	1	LOWERFAIL			BUILD:SKIP
w105:285	2	SIBLING_DEPENDENT	3	n3	
w105:397	5	LOWERFAIL			BUILD:SKIP
w105:506	1	LOWERFAIL			BUILD:SKIP
w105:596	2	SIBLING_DEPENDENT	3	n6	
w105:8	0	COMPOSITIONAL	1	n0	
w106:478	0	SIBLING_DEPENDENT	3	n9	
w107:89	1	SIBLING_DEPENDENT	2	n3,n7	
w109:129	2	LOWERFAIL			BUILD:SKIP
w109:394	1	LOWERFAIL			BUILD:SKIP
w109:604	2	OPERATOR	1		
w109:627	1	LOWERFAIL			BUILD:SKIP
w11:431	3	LOWERFAIL			BUILD:SKIP
w11:755	3	LOWERFAIL			BUILD:SKIP
w11:772	0	OPERATOR	1		
w110:621	4	COMPOSITIONAL	2	n6	
w110:98	1	LOWERFAIL			BUILD:SKIP
w111:231	1	LOWERFAIL			BUILD:SKIP
w111:378	2	LOWERFAIL			BUILD:SKIP
w111:621	5	COMPOSITIONAL	1	n0	
w112:1	0	LOWERFAIL			BUILD:SKIP
w112:100	3	LOWERFAIL			BUILD:SKIP
w112:232	1	SIBLING_DEPENDENT	3	n7	
w112:447	2	LOWERFAIL			BUILD:SKIP
w112:692	2	SIBLING_DEPENDENT	4	n6	
w113:105	5	LOWERFAIL			BUILD:SKIP
w113:229	0	LOWERFAIL			BUILD:SKIP
w113:473	3	SIBLING_DEPENDENT	4	n2	
w113:704	0	LOWERFAIL			BUILD:SKIP
w114:606	3	OPERATOR	2		
w114:64	3	OPERATOR	3		
w114:754	1	LOWERFAIL			BUILD:SKIP
w116:355	3	OPERATOR	3		
w116:399	0	SIBLING_DEPENDENT	2	n5	
w116:770	1	LOWERFAIL			BUILD:SKIP
w117:292	4	SIBLING_DEPENDENT	4	n7	
w117:32	1	LOWERFAIL			BUILD:SKIP
w117:551	3	SIBLING_DEPENDENT	4	n2,n5	
w118:389	2	LOWERFAIL			BUILD:SKIP
w118:84	0	OPERATOR	1		
w12:366	1	COMPOSITIONAL	3	n2,n1,n0	
w12:541	2	LOWERFAIL			BUILD:SKIP
w12:587	2	OPERATOR	3		
w12:6	2	OPERATOR	4		
w120:279	2	OPERATOR	2		
w120:61	1	OPERATOR	3		
w120:652	3	LOWERFAIL			BUILD:SKIP
w121:108	2	SIBLING_DEPENDENT	3	n3	
w121:464	2	COMPOSITIONAL	3	n3	
w121:571	0	LOWERFAIL			BUILD:SKIP
w121:718	4	SIBLING_DEPENDENT	4	n8	
w122:251	1	LOWERFAIL			BUILD:SKIP
w122:322	1	LOWERFAIL			BUILD:SKIP
w122:769	2	OPERATOR	3		
w123:618	3	LOWERFAIL			BUILD:SKIP
w123:7	1	OPERATOR	2		
w0:406	3	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w1:171	1	CONE_LOCAL_CANT_SPLIT	7		cone_build_skip
w1:294	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w1:430	2	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w1:48	3	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w10:61	0	CONE_LOCAL_CANT_SPLIT	7		cone_build_skip
w102:623	1	CONE_LOCAL_CANT_SPLIT	7		cone_build_skip
w104:336	0	ERROR			DEV:SKIP
w105:166	1	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w105:397	5	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w105:506	1	CONE_LOCAL_CANT_SPLIT	8		cone_build_skip
w109:129	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w109:394	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w109:627	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w11:431	3	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w11:755	3	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w110:98	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w111:231	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w111:378	2	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w112:1	0	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w112:100	3	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w112:447	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w113:105	5	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w113:229	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w113:704	0	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w114:754	1	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w116:770	1	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w117:32	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w118:389	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w12:541	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w120:652	3	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w121:571	0	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w122:251	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w122:322	1	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w123:618	3	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w124:469	3	COMPOSITIONAL	3	n4,n5	
w124:557	2	COMPOSITIONAL	2	n0,n1	
w124:686	2	OPERATOR	2		
w125:122	3	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w125:150	4	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w125:167	1	OPERATOR	2		
w125:284	2	OPERATOR	1		
w125:357	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w126:111	2	OPERATOR	3		
w126:255	4	SIBLING_DEPENDENT	4	n2,n6	
w126:279	0	COMPOSITIONAL	1	n0	
w126:296	2	SIBLING_DEPENDENT	4	n6	
w126:353	4	SIBLING_DEPENDENT	4	n4	
w127:158	3	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w127:194	3	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w127:613	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w127:63	3	COMPOSITIONAL	3	n4	
w13:341	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w13:478	4	OPERATOR	1		
w13:521	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w14:194	1	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w14:38	4	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w14:402	0	SIBLING_DEPENDENT	2	n5	
w14:511	3	LOWERFAIL			BUILD:SKIP
w14:654	3	SIBLING_DEPENDENT	4	n2,n5	
w16:21	0	SIBLING_DEPENDENT	3	n3,n7	
w17:667	2	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w17:70	3	OPERATOR	3		
w18:0	4	OPERATOR	1		
w18:171	3	OPERATOR	5		
w18:438	0	OPERATOR	1		
w19:200	3	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w19:223	3	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w19:63	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w19:654	1	SIBLING_DEPENDENT	4	n5	
w20:273	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w20:690	0	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w20:750	0	COMPOSITIONAL	2	n0,n1	
w21:338	0	OPERATOR	1		
w21:627	0	OPERATOR	2		
w22:257	0	COMPOSITIONAL	3	n2,n3,n0	
w24:284	2	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w26:443	1	OPERATOR	2		
w27:489	1	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w28:663	1	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w28:678	3	SIBLING_DEPENDENT	4	n3	
w3:174	1	SIBLING_DEPENDENT	3	n6	
w3:274	2	CONE_LOCAL_CANT_SPLIT	8		cone_build_skip
w30:185	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w30:477	3	SIBLING_DEPENDENT	3	n6	
w31:162	1	COMPOSITIONAL	5	n1	
w31:356	0	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w31:527	0	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w31:671	1	OPERATOR	1		
