w0:163	0	COMPOSITIONAL	select_scatter	max_pool2d_with_indices_backward;broadcast_to	AB_OK	3	3	NONFINITE
w0:45	0	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w0:523	0	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w0:684	0	COMPOSITIONAL	permute_copy	bitwise_left_shift	A_ALSO_DIVERGES	3	3	VALUE
w100:259	0	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w100:263	1	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w100:33	3	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w100:354	1	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w100:505	0	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w100:509	2	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w100:540	0	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w100:560	1	COMPOSITIONAL	unfold_copy	expm1;diagonal_copy;native_group_norm	A_ALSO_DIVERGES	3	3	VALUE
w100:602	0	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w100:617	1	SIBLING_DEPENDENT	exp	replication_pad3d;glu	A_ALSO_DIVERGES	3	3	SHAPE
w100:659	2	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w100:98	0	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w101:291	1	COMPOSITIONAL	flip	prod	AB_OK	3	3	VALUE
w10:13	1	SIBLING_DEPENDENT	squeeze_copy	constant_pad_nd	AB_OK	3	3	ZEROED
w101:39	1	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w101:421	3	COMPOSITIONAL	fmod	sum	AB_OK	3	3	ZEROED
w101:432	0	COMPOSITIONAL	div	bitwise_left_shift	AB_OK	3	3	VALUE
w101:45	0	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w101:520	1	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w101:605	0	COMPOSITIONAL	max	view_copy;remainder	AB_OK	3	3	VALUE
w101:730	1	SIBLING_DEPENDENT	tanh	where	A_ALSO_DIVERGES	3	3	ZEROED
w102:265	0	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w102:300	0	COMPOSITIONAL	ERR		DEV:TIMEOUT	0	3	
w102:35	0	COMPOSITIONAL	min	native_group_norm;gelu	AB_OK	3	3	VALUE
w102:424	2	COMPOSITIONAL	log10	remainder	AB_OK	3	3	NONFINITE
w102:554	0	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w102:563	0	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
w102:645	0	SIBLING_DEPENDENT	ERR		DEV:TIMEOUT	0	3	
